Number,Name_Code,Lat,Long,Prefecture,County,# Shawn,# ETNAM,Tier,Distance to County Centre,Distance to Industrial Park,Watchtowers,Interior Fencing,External Wall,Have security features been added or removed,Security Features Changed,Security features changed when,Have recreational features been added or removed,Recreational features changed,Usage prior to 2017,Name,Organised visits,Other footage,Other Evidence,Eyewitness Accounts,Any signs of decomissioning,Decomissioning signs,Number of Buildings in 2017,Number of Buildings in 2018,Number of Buildings in 2019,Number of Buildings in 2020,Construction ongoing in 2019?,Construction ongoing in 2020?,Number of factories within the complex,Number of factories adjacent to the complex,Distance to residential buildings,Distance to pre-school (max 1km),Notes(tmp),Notes,Photos,Videos,Date of Latest Sat Imagery,Highlight,Desecuritisation
71,Uchturpan Facility #1,41.18367653,79.26850754,Aksu,Uchturpan,#N/A,P_AQ12,4,7.52,N/A,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,8,N/A,0,0,1,0,1.2,N/A,,"A Tier 4 prison in Uchturpan, Aksu with watchtowers and an external wall. .",,,19-Jul,,0
72,Konasheher Facility #2,39.33258424,75.68766641,Kashgar,Konasheher,26,C_QE06,1,20.43,0.5,0,1,1,1,watchtowers were removed and the external wall was extended,2018-2019,0,N/A,,,,,,,0,N/A,11,13,19,19,1,0,7,8,2.4,N/A,Considerable room for expansion,"A Tier 1 re-education facility in Konasheher, Kashgar with and interior fencing and an external wall.  Since it was completed, watchtowers were removed and the external wall was extended.Considerable room for expansion.",,,20-Mar,1,1
73,Bugur Facility #1,41.80885523,84.30057832,Bayingolun,Bugur,#N/A,C_KO05,1,7.12,0.3,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,17,N/A,0,1,8,23,2.9,N/A,Considerable room for expansion,"A Tier 1 re-education facility in Bugur, Bayingolun with and interior fencing and an external wall. Considerable room for expansion.",,,19-Jun,,0
74,Jerenbulaq Facility #2,45.69873553,85.1538473,Karamay,Jerenbulaq,Additional,P_QA07,3,3.01,0.9,1,1,1,0,,N/A,0,N/A,Industrial park,,,,,,0,N/A,0,3,3,3,0,0,0,0,0.9,N/A,,"A Tier 3 detention centre in Jerenbulaq, Karamay with watchtowers and interior fencing and an external wall. .",,,20-Mar,,0
75,Barkol Facility #2,43.60166122,93.10346171,Qumul,Barkol,#N/A,C_QU04,1,9.68,0.3,0,0,1,0,,N/A,0,N/A,,,,,,,0,N/A,N/A,N/A,10,N/A,0,0,5,0,0.4,N/A,,"A Tier 1 re-education facility in Barkol, Qumul with an external wall. .",,,19-Jun,,0
76,Karashahar Facility #1,41.93327791,86.40864334,Bayingolun,Karashahar,#N/A,P_KO15,2,25.83,1.4,1,1,1,1,an external wall was expanded,2ndHf2017,0,N/A,,,,,,,0,N/A,21,27,27,N/A,0,1,0,3,2.8,N/A,Considerable room for expansion,"A Tier 2 re-education facility in Karashahar, Bayingolun with watchtowers and interior fencing and an external wall.  Since it was completed, an external wall was expanded.Considerable room for expansion.",,,19-Oct,1,0
77,Koktogay Facility #1,46.99832982,89.49778951,Altay,Koktogay,#N/A,P_AL08,4,3.16,0.3,1,1,1,1,some interior fencing were added,2016,0,N/A,Prison,,,,,,0,N/A,N/A,N/A,3,N/A,0,0,0,3,2.1,N/A,,"A Tier 4 prison in Koktogay, Altay with watchtowers and interior fencing and an external wall.  Since it was completed, some interior fencing were added..",,,19-Jun,,0
78,Pichan Facility #1,42.89326587,90.1678058,Turpan,Pichan,#N/A,C_TU07,1,6.29,1.6,0,1,1,1,an external wall was built,1stHf2018,0,N/A,Factory,,,,,,0,N/A,N/A,8,10,10,1,0,15,4,2.4,N/A,,"A Tier 1 re-education facility in Pichan, Turpan with and interior fencing and an external wall.  Since it was completed, an external wall was built..",,,20-Apr,,0
79,Ghulja City Facility #2,43.90916549,81.32001126,Ili,Ghulja City,#N/A,C_GH03,1,21.55,4.4,0,0,1,0,,N/A,0,N/A,,,,,,,0,N/A,9,10,9,9,0,0,0,0,0.9,N/A,,"A Tier 1 re-education facility in Ghulja City, Ili with an external wall. .",,,20-Mar,,0
80,Sanji Facility #4,44.31158357,87.43871061,Sanji,Sanji,#N/A,#N/A,2,25.33,2.3,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,13,13,13,N/A,0,1,6,0,2.1,N/A,Considerable room for expansion,"A Tier 2 re-education facility in Sanji, Sanji with watchtowers and an external wall. Considerable room for expansion.",,,19-Jul,,0
81,Ghulja City Facility #3,43.97752903,81.13842008,Ili,Ghulja City,56,C_GH05,2,21.19,0.7,0,1,1,1,some interior fencing were removed and a dividing wall was added,2018-2019,1,Two basketball courts added,Very weird ramp below ground level,,,,,,0,N/A,3,25,27,27,1,0,0,5,1.7,N/A,Long ramp below ground level,"A Tier 2 re-education facility in Ghulja City, Ili with and interior fencing and an external wall.  Since it was completed, some interior fencing were removed and a dividing wall was added.Long ramp below ground level.",,,20-May,1,1
82,Yengisar Facility #1,38.93692759,76.0557123,Kashgar,Yengisar,68,P_QE09,4,13.39,1.8,1,0,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,N/A,4,12,N/A,1,0,0,2,1.2,N/A,"Next to a tier 3 camp, surrounded by farmland","A Tier 4 prison in Yengisar, Kashgar with watchtowers and an external wall. Next to a tier 3 camp, surrounded by farmland.",,,19-Nov,,0
83,Kargilik Facility #4,37.91217057,77.3509936,Kashgar,Kargilik,#N/A,#N/A,4,8.12,0.8,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,0,0,13,N/A,1,0,0,3,1.7,N/A,,"A Tier 4 prison in Kargilik, Kashgar with watchtowers and an external wall. .",,,19-Nov,,0
84,Hotan County Facility #4,37.23967441,79.85007405,Hotan,Hotan County,Additional,C_HO06,2,14.49,2.9,0,1,1,1,the external wall was expanded to include a vast area,N/A,0,N/A,Desert,,,,,,0,N/A,10,10,10,10,0,1,0,0,2.9,1.7,"Considerable room for expansion, part of a wider complex","A Tier 2 re-education facility in Hotan County, Hotan with and interior fencing and an external wall.  Since it was completed, the external wall was expanded to include a vast area.Considerable room for expansion, part of a wider complex.",,,20-Apr,,0
85,Tekes Facility #2,43.23395779,81.83783902,Ili,Tekes,#N/A,C_GH22,1,2.57,0.4,0,0,1,1,the external wall was expanded,2018-2019,0,N/A,Government building,,,,,,0,N/A,N/A,4,4,4,0,0,1,0,0.8,0.4,,"A Tier 1 re-education facility in Tekes, Ili with an external wall.  Since it was completed, the external wall was expanded..",,,20-Apr,,0
86,Karakash Facility #4,37.10997043,79.63918916,Hotan,Karakash,7,P_HO11,4,20.07,0.3,1,1,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,N/A,3,18,18,1,0,0,20,1.5,N/A,,"A Tier 4 prison in Karakash, Hotan with watchtowers and interior fencing and an external wall. .",,,20-Jun,,0
87,Sanji Facility #5,44.10082275,86.99402835,Sanji,Sanji,86,#N/A,3,17.6,1.1,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,12,12,12,0,0,0,2,2.4,N/A,Still under construction as of May 2020. Next to a prison and tier 3 camp,"A Tier 3 detention centre in Sanji, Sanji with an external wall. Still under construction as of May 2020. Next to a prison and tier 3 camp.",,,20-May,,0
88,Altay Facility #1,47.73446961,88.05472167,Altay,Altay,#N/A,P_AL02,4,17.61,3,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,3,N/A,0,0,0,0,0.8,N/A,,"A Tier 4 prison in Altay, Altay with watchtowers and interior fencing and an external wall. .",,,19-Jun,,0
89,Sanji Facility #6,44.09902009,87.00314236,Sanji,Sanji,#N/A,C_SA03,3,18.44,1,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,0,14,16,1,1,0,4,3.2,N/A,Still under construction as of May 2020. Next to a prison and tier 2 camp,"A Tier 3 detention centre in Sanji, Sanji with watchtowers and an external wall. Still under construction as of May 2020. Next to a prison and tier 2 camp.",,,20-May,,0
90,Kashgar Facility #2,39.43176173,76.05573626,Kashgar,Kashgar,2,C_QE01,1,4.46,1.8,0,1,1,1,some interior fencing and watchtowers were removed.,2019,0,N/A,Farmland,,,,,,0,N/A,8,10,10,10,0,0,0,9,0.9,N/A,,"A Tier 1 re-education facility in Kashgar, Kashgar with and interior fencing and an external wall.  Since it was completed, some interior fencing and watchtowers were removed...",,,20-Apr,,1
91,Xinshi Facility #1,43.93614458,87.58268856,Urumqi,Xinshi,#N/A,P_UR02,2,9.98,0.6,1,1,1,0,,N/A,0,N/A,Camp,,,,,,0,N/A,10,12,12,13,0,1,5,4,2.8,N/A,This facility was originally constructed in 2009.,"A Tier 2 re-education facility in Xinshi, Urumqi with watchtowers and interior fencing and an external wall. This facility was originally constructed in 2009.",,,20-Jun,1,0
92,Korgas Facility #4,44.18638653,80.75525527,Ili,Korgas,#N/A,C_GH18,1,24.48,1.8,0,0,1,1,an external wall was expanded and some interior fencing were removed,2019,0,N/A,Government building,,,,,,0,N/A,N/A,7,8,8,1,0,5,0,0.5,N/A,,"A Tier 1 re-education facility in Korgas, Ili with an external wall.  Since it was completed, an external wall was expanded and some interior fencing were removed..",,,20-Mar,,1
93,Turpan Facility #2,42.98196054,89.16709778,Turpan,Turpan,#N/A,P_TU01,4,6.38,1.1,1,0,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,5,6,6,7,0,1,0,6,1.8,0.6,,"A Tier 4 prison in Turpan, Turpan with watchtowers and an external wall. .",,,20-Jan,,0
94,Lop Facility #3,37.10415128,80.1815109,Hotan,Lop,54,P_HO08,1,4.33,0.4,0,0,1,1,"watchtowers, interior fencing and high walls were removed",2ndHf2019,1,basketball court,Farmland,,,,,,1,Major buildings removed,10,N/A,10,5,0,0,0,8,0.4,N/A,,"A Tier 1 re-education facility in Lop, Hotan with an external wall.  Since it was completed, watchtowers, interior fencing and high walls were removed..",,,20-Mar,,1
95,Chapchal Facility #3,43.82758529,81.19550289,Ili,Chapchal,#N/A,C_GH15,1,5.32,0.3,0,0,1,1,an external wall was completed,Mid-2018,0,N/A,,,,,,,0,N/A,4,6,6,N/A,0,,0,4,1,N/A,,"A Tier 1 re-education facility in Chapchal, Ili with an external wall.  Since it was completed, an external wall was completed..",,,20-Aug,,0
96,Hejing Facility #1,42.31166458,86.30999283,Bayingolun,Hejing,74,#N/A,2,8.44,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 2 re-education facility in Hejing, Bayingolun. .",,,,,1
97,Keriye Facility #3,36.83633989,81.75610209,Hotan,Keriye,67,C_HO22,2,9.22,4.8,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,4,13,N/A,1,,18,0,2.6,N/A,Next to a prison,"A Tier 2 re-education facility in Keriye, Hotan with an external wall. Next to a prison.",,,19-Jun,,0
98,Tokkuztara Facility #1,43.51721458,82.2093432,Ili,Tokkuztara,82,C_GH20,2,5.86,2,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,15,18,18,1,0,0,3,4,N/A,Next to a prison,"A Tier 2 re-education facility in Tokkuztara, Ili with an external wall. Next to a prison.",,,20-Mar,,0
99,Chira Facility #1,36.96588304,80.81297216,Hotan,Chira,62,#N/A,2,4.59,0.3,0,1,1,1,an external wall was completed and interior fencing were added,2018-2019,0,N/A,Barren,,,,,,0,N/A,0,5,5,N/A,0,0,0,5,1.4,N/A,Part of a large industrial park,"A Tier 2 re-education facility in Chira, Hotan with and interior fencing and an external wall.  Since it was completed, an external wall was completed and interior fencing were added.Part of a large industrial park.",,,19-Nov,,0
100,Saybagh Facility #1,43.73159893,87.54194466,Urumqi,Saybagh,#N/A,C_UR01,1,12.39,2.3,0,0,1,1,some internal fencing and watchtowers were removed,Mar-19,0,N/A,Barren,,,,,,0,N/A,0,2,14,14,1,0,5,0,0.05,N/A,Surrounding residential buildings are being demolished.,"A Tier 1 re-education facility in Saybagh, Urumqi with an external wall.  Since it was completed, some internal fencing and watchtowers were removed.Surrounding residential buildings are being demolished.",,,20-Jun,,1
101,Hoshut Facility #1,42.29354621,86.87993038,Bayingolun,Hoshut,#N/A,C_KO09,1,4.18,1,0,0,1,0,,N/A,1,Running track,Barren,,,,,,0,N/A,5,5,N/A,5,1,0,1,0,1.8,N/A,,"A Tier 1 re-education facility in Hoshut, Bayingolun with an external wall. .",,,20-May,,0
102,Awat Facility #2,40.64190801,80.36652563,Aksu,Awat,#N/A,C_AQ11,1,0.98,1.7,0,0,1,1,some interior fencing were removed,2019,0,N/A,,,,,,,0,N/A,4,4,4,4,0,0,6,0,0.6,N/A,,"A Tier 1 re-education facility in Awat, Aksu with an external wall.  Since it was completed, some interior fencing were removed..",,,20-Mar,,1
103,Chapchal Facility #4,43.83724702,81.13020844,Ili,Chapchal,#N/A,C_GH13,1,2.41,N/A,0,0,1,0,,N/A,1,Basketball court,,,,,,,0,N/A,3,5,5,5,0,0,2,0,0.2,N/A,,"A Tier 1 re-education facility in Chapchal, Ili with an external wall. .",,,20-Mar,,0
104,Maralbeshi Facility #2,39.82520748,78.5501632,Kashgar,Maralbeshi,16,C_QE22,1,5.8,0.6,0,0,0,1,an external wall was removed,2020,1,Running track was removed,,,,,,,0,N/A,6,6,9,12,1,1,0,6,1.8,N/A,,"A Tier 1 re-education facility in Maralbeshi, Kashgar.  Since it was completed, an external wall was removed..",,,20-May,,0
105,Karamay Facility #1,45.53405209,84.79653164,Karamay,Karamay,80,P_QA03,3,12.63,6,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,20,20,20,0,0,0,0,8,N/A,Next to a prison,"A Tier 3 detention centre in Karamay, Karamay with and interior fencing and an external wall. Next to a prison.",,,20-Mar,,0
106,Tumshuq Facility #2,39.85139679,79.02327614,Tumshuq,Tumshuq,#N/A,C_QE40,2,5.49,0.4,1,1,1,0,,N/A,0,N/A,Camp,,,,,,0,N/A,8,N/A,8,N/A,0,0,0,6,0.4,N/A,Seems to have been built in 2012,"A Tier 2 re-education facility in Tumshuq, Tumshuq with watchtowers and interior fencing and an external wall. Seems to have been built in 2012.",,,19-Jun,,0
107,Keriye Facility #4,36.84731057,81.50706434,Hotan,Keriye,#N/A,C_HO23,1,19.01,3,0,0,1,0,,N/A,0,N/A,Residential buildings,,,,,,0,N/A,11,11,11,N/A,0,0,0,0,0.5,N/A,,"A Tier 1 re-education facility in Keriye, Hotan with an external wall. .",,,19-Mar,,0
108,Qutubi Facility #1,44.20687171,86.89417374,Sanji,Qutubi,84,C_SA08,2,2.46,7,0,1,1,1,some interior fencing were removed,2019-2020,0,N/A,Farmland,,,,,,0,N/A,N/A,7,7,7,0,0,0,1,0.9,N/A,Part of a wider complex with a prison,"A Tier 2 re-education facility in Qutubi, Sanji with and interior fencing and an external wall.  Since it was completed, some interior fencing were removed.Part of a wider complex with a prison.",,,20-May,1,1
109,Chinggil Facility #1,46.67646281,90.2954732,Altay,Chinggil,#N/A,#N/A,3,9.75,,1,0,1,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 3 detention centre in Chinggil, Altay with watchtowers and an external wall. .",,,,,0
110,Mekit Facility #1,38.83708168,77.7089757,Kashgar,Mekit,8,C_QE23,2,11.55,N/A,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,N/A,26,0,0,2,0,1.6,N/A,,"A Tier 2 re-education facility in Mekit, Kashgar with and interior fencing and an external wall. .",,,20-Mar,,0
111,Korla Facility #1,41.7087086,86.27880546,Bayingolun,Korla,#N/A,P_KO07,4,11.88,3,1,1,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,12,12,12,12,0,0,0,3,8.4,N/A,,"A Tier 4 prison in Korla, Bayingolun with watchtowers and interior fencing and an external wall. .",,,20-Jun,,0
112,Shayar Facility #2,41.23993045,82.7740664,Aksu,Shayar,#N/A,#N/A,1,2.84,1.2,0,1,0,0,,N/A,1,Soccer field and basketball courts,Farmland,,,,,,0,N/A,0,6,7,N/A,1,0,8,0,1,N/A,,"A Tier 1 re-education facility in Shayar, Aksu with interior fencing . .",,,19-Oct,,0
113,Mongolkure Facility #1,43.18258171,81.13468626,Ili,Mongolkure,Additional,C_GH25,1,3.88,N/A,0,0,1,1,an external wall was extended,2018-2019,0,N/A,Farmland,,,,,,0,N/A,N/A,8,12,N/A,1,,0,6,1.6,N/A,,"A Tier 1 re-education facility in Mongolkure, Ili with an external wall.  Since it was completed, an external wall was extended..",,,19-Aug,,0
114,Niye Facility #1,37.02182093,82.68405999,Hotan,Niye,#N/A,C_HO24,2,6.04,2.4,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,6,N/A,0,0,6,0,4,N/A,,"A Tier 2 re-education facility in Niye, Hotan with and interior fencing and an external wall. .",,,19-Jun,,0
115,Peyziwat Facility #1,39.53807288,76.71619305,Kashgar,Peyziwat,8,P_QE13,4,7.25,0.2,1,1,1,1,an external wall was extended,2017-2018,0,N/A,Farmland,,,,,,0,N/A,6,8,8,8,0,0,0,6,1,N/A,,"A Tier 4 prison in Peyziwat, Kashgar with watchtowers and interior fencing and an external wall.  Since it was completed, an external wall was extended..",,,20-May,,0
116,Yarkant Facility #8,38.41574682,77.15075197,Kashgar,Yarkant,#N/A,C_QE30,1,10.58,0.4,0,0,1,0,,N/A,0,N/A,,,,,,,0,N/A,4,4,4,4,0,0,0,7,1.8,N/A,,"A Tier 1 re-education facility in Yarkant, Kashgar with an external wall. .",,,20-Mar,,0
117,Yarkant Facility #9,38.36498087,77.11987559,Kashgar,Yarkant,34,#N/A,1,15.66,6,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,5,5,5,0,0,0,12,0.8,N/A,Near a prison,"A Tier 1 re-education facility in Yarkant, Kashgar with an external wall. Near a prison.",,,20-Mar,,0
118,Kuytun Facility #1,44.41240854,85.07085416,Ili,Kuytun,81,C_KU01,1,18.79,0.6,0,0,1,0,,N/A,0,N/A,,,,,,,0,N/A,1,6,6,N/A,0,1,0,0,3.2,N/A,,"A Tier 1 re-education facility in Kuytun, Ili with an external wall. .",,,19-May,,0
119,Keriye Facility #5,36.83633989,81.75610209,Hotan,Keriye,67,#N/A,2,9.22,6.9,0,1,1,0,,N/A,0,N/A,N/A,N/A,None known,None Known,None known,None Known,0,N/A,7,16,27,27,1,0,16,0,6,N/A,Attached to a nearby prison built in 2018. Reported on by RFA https://www.rfa.org/uyghur/xewerler/kishilik-hoquq/keriyede-30ming-kishi-lagerda-08302018231925.html,"A Tier 2 re-education facility in Keriye, Hotan with and interior fencing and an external wall. Attached to a nearby prison built in 2018. Reported on by RFA https://www.rfa.org/uyghur/xewerler/kishilik-hoquq/keriyede-30ming-kishi-lagerda-08302018231925.html.",,,19-Jun,,0
120,Qitai Facility #1,44.00782432,89.4866482,Sanji,Qitai,#N/A,C_SA11,4,12.15,0.8,1,1,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,N/A,10,N/A,0,1,0,1,0.6,N/A,,"A Tier 4 prison in Qitai, Sanji with watchtowers and interior fencing and an external wall. .",,,19-Jul,,0
121,Turpan Facility #3,42.95499161,89.24304105,Turpan,Turpan,#N/A,C_TU05,2,6.65,0.5,0,0,1,1,an external wall was extended,Apr-19,0,N/A,,,,,,,0,N/A,N/A,7,9,9,1,0,3,3,2.7,N/A,,"A Tier 2 re-education facility in Turpan, Turpan with an external wall.  Since it was completed, an external wall was extended..",,,20-Jan,,0
122,Uchturpan Facility #2,41.28247271,79.32789459,Aksu,Uchturpan,#N/A,C_AQ07,2,14.54,0.2,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,N/A,8,N/A,0,1,0,2,0.2,N/A,,"A Tier 2 re-education facility in Uchturpan, Aksu with an external wall. .",,,19-Jul,,0
123,Jing Facility #1,44.54386841,82.91606961,Bortala,Jing,#N/A,#N/A,1,9.16,5.7,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,8,N/A,N/A,N/A,0,0,0,0,6.5,N/A,Near a prison,"A Tier 1 re-education facility in Jing, Bortala with an external wall. Near a prison.",,,17-Jul,,0
124,Dabancheng Facility #2,43.378749,88.272503,Urumqi,Dabancheng,29,#N/A,3,3.62,N/A,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,0,0,17,0,1,0,0,1.3,N/A,Newly built in 2019,"A Tier 3 detention centre in Dabancheng, Urumqi with watchtowers and an external wall. Newly built in 2019.",,,20-Mar,1,0
125,Nilqa Facility #2,43.81621999,82.51290495,Ili,Nilqa,#N/A,C_GH19,1,2.47,N/A,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,12,0,0,0,0,0,1.7,N/A,Near a prison,"A Tier 1 re-education facility in Nilqa, Ili with and interior fencing and an external wall. Near a prison.",,,19-Jun,,0
126,Tiemenguan Facility #2,41.88922595,85.5899652,Tiemenguan,Tiemenguan,#N/A,#N/A,2,13.54,10.5,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,18,N/A,0,0,5,11,7.8,N/A,Forms part of three tier 2 camps in the vicinity ,"A Tier 2 re-education facility in Tiemenguan, Tiemenguan with watchtowers and interior fencing and an external wall. Forms part of three tier 2 camps in the vicinity .",,,19-Jun,,0
127,Qumul Facility #2,42.77851142,93.79998537,Qumul,Qumul,#N/A,#N/A,2,32.28,0.6,1,1,1,0,,N/A,0,N/A,,,,,,,0,N/A,N/A,5,5,N/A,0,0,0,9,1.4,N/A,,"A Tier 2 re-education facility in Qumul, Qumul with watchtowers and interior fencing and an external wall. .",,,19-Jun,,0
128,Peyziwat Facility #2,39.43819373,76.7402753,Kashgar,Peyziwat,28,C_QE18,1,7.44,0.2,0,0,0,0,,N/A,0,N/A,Residential Buildings,,,,,,0,N/A,10,10,10,N/A,0,0,11,15,1.5,N/A,Part of a larger industrial park,"A Tier 1 re-education facility in Peyziwat, Kashgar. Part of a larger industrial park.",,,19-Dec,,1
129,Onsu Facility #2,41.34582915,80.24024898,Aksu,Onsu,38,P_AQ10,4,10.25,N/A,1,1,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,N/A,7,N/A,N/A,1,0,0,0,2.3,N/A,Next to a tier 1 camp,"A Tier 4 prison in Onsu, Aksu with watchtowers and interior fencing and an external wall. Next to a tier 1 camp.",,,18-Oct,,0
130,Shihu Facility #1,44.43179619,84.66883504,Tarbaghatay,Shihu,#N/A,C_CH08,1,1.23,6.7,0,0,0,1,some interior fencing were removed,2018-2019,1,Basketball Court,School,,,,,,0,N/A,4,4,4,4,0,0,0,0,0.8,N/A,,"A Tier 1 re-education facility in Shihu, Tarbaghatay.  Since it was completed, some interior fencing were removed..",,,20-May,,1
131,Poskam Facility #1,38.17378236,77.27405084,Kashgar,Poskam,#N/A,C_QE35,1,2.56,0.2,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,3,3,3,3,0,0,0,0,0.8,N/A,,"A Tier 1 re-education facility in Poskam, Kashgar with an external wall. .",,,20-Mar,,1
132,Yopurgha Facility #1,39.22048404,76.84567096,Kashgar,Yopurgha,#N/A,C_QE16,1,8.09,0.3,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,9,N/A,0,,1,5,2.7,N/A,Next to a tier 4 prison,"A Tier 1 re-education facility in Yopurgha, Kashgar with an external wall. Next to a tier 4 prison.",,,19-Jul,,0
133,Ghulja Facility #5,43.97569705,81.52893237,Ili,Ghulja,#N/A,#N/A,1,18.64,4,0,0,1,1,an external wall was lowered,2020,0,N/A,,,,,,,0,N/A,4,4,4,4,0,0,1,0,0.2,N/A,A factory was removed from the compound,"A Tier 1 re-education facility in Ghulja, Ili with an external wall.  Since it was completed, an external wall was lowered.A factory was removed from the compound.",,,20-Apr,,1
134,Turpan Facility #4,42.97921789,89.17274488,Turpan,Turpan,#N/A,#N/A,1,5.8,0.5,0,0,1,1,some interior fencing have been removed,2ndHf2019,0,N/A,,,,,,,0,N/A,6,6,6,6,0,0,0,1,1.8,N/A,,"A Tier 1 re-education facility in Turpan, Turpan with an external wall.  Since it was completed, some interior fencing have been removed..",,,20-Jan,,1
135,Tumshuq Facility #3,39.93598165,79.38247743,Tumshuq,Tumshuq,#N/A,#N/A,2,36.35,N/A,0,0,1,0,,N/A,0,N/A,Camp,,,,,,0,N/A,N/A,N/A,N/A,N/A,0,1,2,0,4.6,N/A,,"A Tier 2 re-education facility in Tumshuq, Tumshuq with an external wall. .",,,13-Dec,1,0
136,Konasheher Facility #3,39.36046419,75.86474459,Kashgar,Konasheher,1,P_QE04,4,2.11,N/A,1,1,1,1,an external wall was extended and an interior wall was added,1stHf2019,0,N/A,Prison,,,,,,0,N/A,5,5,8,8,1,0,0,0,0.7,N/A,Next to a tier 1 camp,"A Tier 4 prison in Konasheher, Kashgar with watchtowers and interior fencing and an external wall.  Since it was completed, an external wall was extended and an interior wall was added.Next to a tier 1 camp.",,,20-Mar,,0
137,Kelpin Facility #1,40.52434221,79.02170464,Aksu,Kelpin,#N/A,C_AQ12,2,3.69,0.3,0,1,1,0,,N/A,0,N/A,Park,,,,,,0,N/A,N/A,18,N/A,18,1,0,5,9,0.2,N/A,,"A Tier 2 re-education facility in Kelpin, Aksu with and interior fencing and an external wall. .",,,20-Mar,,0
138,Peyziwat Facility #3,39.43819373,76.7402753,Kashgar,Peyziwat,28,#N/A,2,7.44,0,0,1,1,1,some internal fencing have been removed from outside residential buildings,19-May,0,N/A,Incomplete housing project,??,None known,None Known,Tender Notice,none known,0,N/A,23,30,52,52,1,0,13,15,1.4,0.05,https://medium.com/@shawnwzhang/satellite-imagery-of-xinjiang-re-education-camp-28-%E6%96%B0%E7%96%86%E5%86%8D%E6%95%99%E8%82%B2%E9%9B%86%E4%B8%AD%E8%90%A5%E5%8D%AB%E6%98%9F%E5%9B%BE-28-1b5ea249494b,"A Tier 2 re-education facility in Peyziwat, Kashgar with and interior fencing and an external wall.  Since it was completed, some internal fencing have been removed from outside residential buildings.https://medium.com/@shawnwzhang/satellite-imagery-of-xinjiang-re-education-camp-28-%E6%96%B0%E7%96%86%E5%86%8D%E6%95%99%E8%82%B2%E9%9B%86%E4%B8%AD%E8%90%A5%E5%8D%AB%E6%98%9F%E5%9B%BE-28-1b5ea249494b.",,,19-Dec,,1
139,Lop Facility #4,37.04537204,80.24035942,Hotan,Lop,#N/A,#N/A,1,6.95,0.5,0,0,1,0,,N/A,0,N/A,Four suspicious buildings,,,,,,0,N/A,N/A,N/A,5,5,0,0,2,8,3.7,N/A,,"A Tier 1 re-education facility in Lop, Hotan with an external wall. .",,,20-Mar,,0
140,Bortala Facility #1,44.88769943,81.96162555,Bortala,Bortala,#N/A,#N/A,2,11.28,0.3,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,22,N/A,0,,3,7,2,N/A,Near a tier 2 camp,"A Tier 2 re-education facility in Bortala, Bortala with and interior fencing and an external wall. Near a tier 2 camp.",,,19-Jul,,0
143,Ghulja Facility #6,43.97912974,81.53125567,Ili,Ghulja,#N/A,C_GH11,1,18.53,4.2,0,1,1,0,,N/A,0,N/A,Barren,,,,,,1,7 factories were removed,6,7,8,8,1,1,0,0,0.4,N/A,,"A Tier 1 re-education facility in Ghulja, Ili with and interior fencing and an external wall. .",,,20-May,,1
144,Ghulja Facility #7,44.00125069,81.53125567,Ili,Ghulja,57,P_GH06,4,19.76,6,1,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,10,10,10,10,0,0,0,2,1.1,N/A,Next to a tier 1 camp,"A Tier 4 prison in Ghulja, Ili with watchtowers and an external wall. Next to a tier 1 camp.",,,20-May,,0
